"Показник","Територіальний розріз","Тип будівлі","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4","2021-Q1","2021-Q2","2021-Q3","2021-Q4","2022-Q1","2022-Q2","2022-Q3","2022-Q4","2023-Q1","2023-Q2","2023-Q3","2023-Q4","2024-Q1","2024-Q2","2024-Q3","2024-Q4","2025-Q1","2025-Q2","2025-Q3","2025-Q4"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Черкаська","Будівлі оптово-роздрібної торгівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","15772","2268","5477","5944","10733","3478","8152","10911","16301","2288","9670","16447","28283","3722","4947","7680","18443","2797","11576","15489","15760","","6203","12514","15316","8967","12137","15452",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Харківська","Офісні будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни.","","","","3618","","","","14313","","","","3635","","4319","6708","16319","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Черкаська","Житлові будинки","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 2. Показники наведено наростаючим підсумком.","","8022","62247","96742","131213","5575","74209","93804","97848","3709","11811","61110","70632","28469","101454","200438","200874","16575","41420","119545","138791","","38901","91085","110934","2999","33223","65592","125567","12944","18437","75023","96896"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Хмельницька","Житлові будинки","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 2. Показники наведено наростаючим підсумком.","","23194","59635","119008","220923","47785","111200","166470","257659","121200","150941","212271","323213","92453","268131","511725","553797","121759","182336","266267","330875","70636","129763","199025","313144","58063","121105","141663","184756","18132","62918","117760","210828"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Харківська","Нежитлові будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","82616","19296","40937","170341","218914","24981","83882","97514","133024","95368","121192","166720","187255","15992","16798","16798","16798","","7796","10558","32214","5823","16353","39678","57733","16152","25381","40993","50317"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Чернігівська","Будівлі оптово-роздрібної торгівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","4366","3648","3648","7538","17139","2111","4724","5489","6574","","6878","8717","10327","","","","2640","","","","","","","1726","5759","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Тернопільська","Будівлі громадського дозвілля, освіти, охорони здоров'я та соціального захисту","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","16020","5122","6711","9812","126506","","","3007","3655","2200","6480","9071","12085","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Черкаська","Будівлі громадського дозвілля, освіти, охорони здоров'я та соціального захисту","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","5668","6650","8389","10865","1263","1263","","","","","13954","14160","","","","","","","","","","","","1710","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Чернівецька","Нежитлові будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","50308","11215","22572","45331","51922","11714","21515","33314","77498","37614","54277","63466","86027","16588","24041","45933","63195","10439","30803","41788","65877","17342","22356","40602","56072","6137","25609","86909","104554"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Херсонська","Будівлі готельні та подібні будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","8905","","1715","3200","4057","","","5805","9906","","2360","3957","4261","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Чернігівська","Будівлі громадського дозвілля, освіти, охорони здоров'я та соціального захисту","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","476","3787","3995","8287","8287","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Херсонська","Будівлі транспорту та зв'язку","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","882","357","919","","1151","","","","3849","635","","","907","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Херсонська","Інші нежитлові будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","23257","","","7208","8670","","10241","20204","80415","2586","5812","18816","25464","55593","55593","55593","55593","","","","","","","","6505","","","5167",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Тернопільська","Будівлі оптово-роздрібної торгівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","12586","4261","8334","12567","20914","23942","27699","37849","40276","2715","11959","20619","30592","9040","19878","23213","33676","1136","","14390","18071","7545","16385","17933","28465","","13207","22385",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Черкаська","Житлові будинки для колективного проживання","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","1190","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Хмельницька","Промислові та складські будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","30561","10833","51321","54143","58732","57119","63766","71700","81293","16874","32961","40828","54195","","12071","25230","29157","4955","51462","62183","78512","23628","34710","38478","102502","13740","42951","54993",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Севастополь","Будівлі громадського дозвілля, освіти, охорони здоров'я та соціального захисту","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Севастополь","Будівлі оптово-роздрібної торгівлі","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Харківська","Житлові будинки з двома та більше квартирами","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни.","","","","597409","228917","360763","448386","621032","","68871","138424","152172","","539080","622415","668350","","210498","210498","210498","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Севастополь","Нежитлові будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Автономна Республіка Крим","Житлові будинки без житлових будинків для колективного проживання","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Україна","Житлові будинки без житлових будинків для колективного проживання","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 3. Показники наведено наростаючим підсумком.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5823369"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Україна","Нежитлові будівлі без офісних будівель","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 3. Показники наведено наростаючим підсумком.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3934931"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Автономна Республіка Крим","Нежитлові будівлі без офісних будівель","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Донецька","Нежитлові будівлі без офісних будівель","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 3. Показники наведено наростаючим підсумком.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
